GradientProfile,2-Deoxy Glucose,Arabinose,Arabitol,Cellobiose,Erythritol,Fructose,Fucose,Galactitol,Galactose,Gentobiose,Glucose,Glycerol,Lactose,Lactulose,Lyxose,Maltitol,Mannosamine,Mannose,Melibiose,N-acetyl-glucosamine,Raffinose,Rhamnose,Ribitol,Ribose,Sorbitol,Sorbose,Sucrose,Trehalose,Xylose
1,1,1,1.000167,1,1,0.983333,1,0.983333,0.983333,0.983333,0.994444,1,1,1,1,1,0.983333,1.000167,1,1.000167,1.000167,1.000167,1,0.983333,1.000167,1,1,0.983333,1
2,1,1.000167,0.983333,0.9835,0.9835,0.983333,1.000167,0.983333,1,0.983333,1,0.9835,1,0.9835,1.000167,0.9835,0.983333,0.983333,1.000167,1.000167,0.983333,0.983333,1.000167,1,1.000167,1.000167,0.9835,1,0.9835
3,1,1,1.000167,0.983333,0.983333,1.000167,0.983333,1.000167,1,1.000167,0.994444,0.983333,1,0.983333,0.983333,0.983333,1.000167,1.000167,0.983333,1.000167,1.000167,1.000167,1,1,1.000167,1,0.983333,1,0.983333
4,0.983333,0.983333,0.9835,0.9835,0.9835,0.983333,0.9835,0.983333,0.983333,0.983333,0.983389,0.9835,0.983333,0.9835,0.9835,0.9835,0.983333,0.9835,0.9835,0.9835,0.9835,0.9835,0.983333,0.983333,0.9835,0.983333,0.9835,0.983333,0.9835
5,0.983333,0.9835,0.9835,0.9835,0.9835,0.983333,0.983333,0.983333,0.9835,0.983333,0.983444,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.9835,0.983333,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.9835,0.983333
6,0.983333,0.983333,0.9835,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983444,0.9835,0.983333,0.9835,0.983333,0.9835,0.983333,0.9835,0.983333,0.983333,0.9835,0.9835,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.9835
7,0.9835,0.983333,0.983333,0.983333,0.983333,0.9835,0.966667,0.9835,0.966833,0.9835,0.983333,0.983333,0.9835,0.983333,0.966667,0.983333,0.9835,0.983333,0.966667,0.9835,0.983333,0.983333,0.983333,0.966833,0.9835,0.983333,0.983333,0.966833,0.983333
8,0.983333,0.9835,0.983333,0.9835,0.9835,0.983333,0.9835,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.9835,0.983333,0.983333,0.983333,0.9835,0.983333,0.983333,0.983333,0.9835,0.983333,0.983333,0.9835,0.9835,0.983333,0.983333
9,0.9835,0.9835,0.983333,0.9835,0.9835,0.983333,0.9835,0.983333,0.9835,0.983333,0.983333,0.9835,0.9835,0.9835,0.9835,0.9835,0.983333,0.983333,0.9835,0.983333,0.983333,0.983333,0.9835,0.9835,0.983333,0.9835,0.9835,0.9835,0.9835
10,0.983333,1.000167,0.9835,1,1,0.9835,1,0.9835,0.983333,0.9835,0.988944,0.9835,0.983333,0.9835,1,0.9835,0.9835,0.9835,1,0.9835,0.9835,0.9835,1.000167,0.983333,0.9835,1.000167,1,0.983333,0.9835
