Analyte,tR,t0,k,logk
2-Deoxy Glucose,6.467,1.017,5.360,0.729
2-Deoxy Glucose,6.017,0.983,5.119,0.709
2-Deoxy Glucose,5.600,0.984,4.694,0.672
2-Deoxy Glucose,5.284,0.984,4.373,0.641
2-Deoxy Glucose,5.017,0.984,4.101,0.613
2-Deoxy Glucose,4.750,0.983,3.831,0.583
2-Deoxy Glucose,4.534,0.967,3.690,0.567
2-Deoxy Glucose,4.333,0.967,3.482,0.542
2-Deoxy Glucose,4.134,0.984,3.203,0.506
2-Deoxy Glucose,3.967,0.967,3.104,0.492
2-Deoxy Glucose,3.817,0.967,2.948,0.470
2-Deoxy Glucose,3.700,0.983,2.763,0.441
2-Deoxy Glucose,3.567,0.967,2.689,0.430
2-Deoxy Glucose,3.467,0.967,2.586,0.413
2-Deoxy Glucose,3.367,0.967,2.483,0.395
2-Deoxy Glucose,3.283,0.983,2.339,0.369
2-Deoxy Glucose,3.200,0.967,2.310,0.364
2-Deoxy Glucose,3.117,0.967,2.224,0.347
2-Deoxy Glucose,3.067,0.983,2.119,0.326
2-Deoxy Glucose,2.983,0.967,2.086,0.319
2-Deoxy Glucose,2.917,0.967,2.018,0.305
2-Deoxy Glucose,2.867,0.967,1.966,0.294
2-Deoxy Glucose,2.817,0.983,1.865,0.271
2-Deoxy Glucose,2.767,0.984,1.813,0.258
2-Deoxy Glucose,2.717,0.984,1.763,0.246
Arabinose,8.667,1.033,7.387,0.868
Arabinose,7.817,0.984,6.948,0.842
Arabinose,7.050,0.984,6.168,0.790
Arabinose,6.500,0.984,5.609,0.749
Arabinose,6.033,0.983,5.135,0.711
Arabinose,5.633,0.983,4.728,0.675
Arabinose,5.284,0.984,4.373,0.641
Arabinose,4.984,0.984,4.068,0.609
Arabinose,4.684,0.967,3.845,0.585
Arabinose,4.450,0.967,3.603,0.557
Arabinose,4.250,0.967,3.396,0.531
Arabinose,4.083,0.967,3.224,0.508
Arabinose,3.917,0.983,2.983,0.475
Arabinose,3.767,0.967,2.897,0.462
Arabinose,3.650,0.967,2.775,0.443
Arabinose,3.534,0.984,2.593,0.414
Arabinose,3.417,0.967,2.535,0.404
Arabinose,3.333,0.983,2.389,0.378
Arabinose,3.233,0.967,2.344,0.370
Arabinose,3.150,0.983,2.203,0.343
Arabinose,3.067,0.967,2.172,0.337
Arabinose,3.000,0.984,2.050,0.312
Arabinose,2.934,0.984,1.983,0.297
Arabinose,2.867,0.983,1.916,0.282
Arabinose,2.800,0.984,1.847,0.266
Arabitol,1.533,0.933,0.643,-0.192
Arabitol,1.533,1.000,0.533,-0.273
Arabitol,1.534,0.984,0.560,-0.252
Arabitol,1.533,0.983,0.559,-0.253
Arabitol,1.517,0.984,0.542,-0.266
Arabitol,1.517,0.983,0.543,-0.265
Arabitol,1.517,0.984,0.542,-0.266
Arabitol,1.500,0.967,0.552,-0.258
Arabitol,1.500,0.967,0.552,-0.258
Arabitol,1.500,0.967,0.551,-0.258
Arabitol,1.500,0.967,0.552,-0.258
Arabitol,1.500,0.967,0.552,-0.258
Arabitol,1.484,0.967,0.535,-0.272
Arabitol,1.483,0.983,0.508,-0.294
Arabitol,1.484,0.984,0.509,-0.293
